"","i","j","t","prob","collabType"
"1","1","2","2","0.303728512207175","NATIONAL"
"2","1","3","2","0.205547811608281","NATIONAL"
"3","1","7","2","0.799611192863177","NATIONAL"
"4","1","9","2","0.00977720290992301","NATIONAL"
"5","1","13","2","0.0316660144821804","NATIONAL"
"6","1","14","2","0.00977720290992301","NATIONAL"
"7","1","16","2","0.00977720290992301","NATIONAL"
"8","1","17","2","0.00977720290992301","NATIONAL"
"9","1","22","2","0.71736487386212","NATIONAL"
"10","1","30","2","0.0517617475091303","NATIONAL"
"11","1","31","2","0.0431254116266078","NATIONAL"
"12","1","32","2","0.0431254116266078","NATIONAL"
"13","1","34","2","0.0961918748867505","NATIONAL"
"14","1","39","2","0.0319737801697267","NATIONAL"
"15","1","65","2","0.00977720290992301","NATIONAL"
"16","1","68","2","0.00977720290992301","NATIONAL"
"17","1","71","2","0.0517617475091303","NATIONAL"
"18","1","72","2","0.0517617475091303","NATIONAL"
"19","1","73","2","0.00977720290992301","NATIONAL"
"20","1","105","2","0.163849966429962","NATIONAL"
"21","1","109","2","0.163849966429962","NATIONAL"
"22","1","130","2","0.00977720290992301","NATIONAL"
"23","1","131","2","0.00977720290992301","NATIONAL"
"24","1","132","2","0.00977720290992301","NATIONAL"
"25","1","133","2","0.00977720290992301","NATIONAL"
"26","1","140","2","0.00977720290992301","NATIONAL"
"27","1","151","2","0.0234403149451758","NATIONAL"
"28","1","153","2","0.0234403149451758","NATIONAL"
"29","1","156","2","0.00977720290992301","NATIONAL"
"30","1","163","2","0.0234403149451758","NATIONAL"
"31","1","172","2","0.00977720290992301","NATIONAL"
"32","2","1","2","0.303728512207175","NATIONAL"
"33","2","3","2","0.02750637759441","NATIONAL"
"34","2","7","2","0.303728512207175","NATIONAL"
"35","2","9","2","0.00107823823760024","NATIONAL"
"36","2","13","2","0.00356221367609452","NATIONAL"
"37","2","14","2","0.00107823823760024","NATIONAL"
"38","2","16","2","0.00107823823760024","NATIONAL"
"39","2","17","2","0.00107823823760024","NATIONAL"
"40","2","22","2","0.102445609653415","NATIONAL"
"41","2","30","2","0.00593210804211533","NATIONAL"
"42","2","31","2","0.0049028124228968","NATIONAL"
"43","2","32","2","0.0049028124228968","NATIONAL"
"44","2","34","2","0.0115011132488452","NATIONAL"
"45","2","39","2","0.0035978501146596","NATIONAL"
"46","2","65","2","0.00107823823760024","NATIONAL"
"47","2","68","2","0.00107823823760024","NATIONAL"
"48","2","71","2","0.00593210804211533","NATIONAL"
"49","2","72","2","0.00593210804211533","NATIONAL"
"50","2","73","2","0.00107823823760024","NATIONAL"
"51","2","105","2","0.0209728961916615","NATIONAL"
"52","2","109","2","0.0209728961916615","NATIONAL"
"53","2","130","2","0.00107823823760024","NATIONAL"
"54","2","131","2","0.00107823823760024","NATIONAL"
"55","2","132","2","0.00107823823760024","NATIONAL"
"56","2","133","2","0.00107823823760024","NATIONAL"
"57","2","140","2","0.00107823823760024","NATIONAL"
"58","2","151","2","0.00107823823760024","NATIONAL"
"59","2","153","2","0.00107823823760024","NATIONAL"
"60","2","156","2","0.00107823823760024","NATIONAL"
